2023-05-19 21:35:02,554 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:35:02,556 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:35:02,559 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:35:12,681 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:37:28,257 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:40:54,518 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:40:54,518 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:40:54,520 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:40:54,522 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:40:54,524 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:40:54,532 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:40:59,133 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:44:22,537 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:44:22,537 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:44:22,541 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:44:22,544 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:44:22,546 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:44:22,549 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-19 21:44:24,936 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:44:27,774 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:44:27,775 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:44:27,776 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:44:27,779 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:44:27,782 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:44:27,785 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:44:34,113 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:46:48,927 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:51:22,509 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:51:22,511 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:51:22,512 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:51:22,513 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:51:22,515 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:51:22,518 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:51:26,135 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:57:55,175 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:57:56,937 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:57:56,937 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:57:56,940 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:57:56,942 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:57:56,946 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:57:56,949 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:58:02,069 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 22:06:10,144 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 22:06:10,145 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 22:06:10,147 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 22:06:10,148 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 22:06:10,152 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 22:06:10,158 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-19 22:06:12,689 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 22:07:43,110 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 22:07:43,111 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 22:07:43,112 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 22:07:43,112 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 22:07:43,115 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 22:07:43,122 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:07:48,021 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 22:16:40,245 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 22:16:42,041 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 22:16:42,041 | MainThread   | [INFO    ] | <module>            |: info
